id,name,link,phone,address,type,description,years,dollar,rating,menu_URL,order_online
34,Burger and Lobster,https://www.yellowpages.com/new-york-city-ny/mip/burger-and-lobster-502824043?lid=502824043#gallery,(646) 833-7532,39 W 19th St  Between Fifth & 6th Avenues,RestaurantsHamburgers & Hot DogsSeafood Restaurants,From Business: We focus our energy on making two products the absolute best they can be without any other distractions. We’re obsessed with refining o[...],13 Years,$$,"{""rating"":""4.5"",""count"":""1103""}",https://www.yellowpages.com/new-york-city-ny/mip/burger-and-lobster-502824043,False
35,Park Avenue Autumn/Winter/Spring/Summer,https://www.yellowpages.com/new-york-city-ny/mip/park-avenue-autumn-winter-spring-summer-534518421?lid=534518421#gallery,(212) 951-7111,360 Park Ave S.  At 26th St,RestaurantsAmerican Restaurants,From Business: The historic Park Avenue Autumn/Winter/Spring/Summer that enjoyed a 22-year run on the Upper East Side has moved south to Gramercy Park[...],,$$$,"{""rating"":""4.0"",""count"":""561""}",https://www.yellowpages.com/new-york-city-ny/mip/park-avenue-autumn-winter-spring-summer-534518421,False
36,Mexico Lindo Restaurant,https://www.yellowpages.com/new-york-city-ny/mip/mexico-lindo-restaurant-4844226?lid=4844226#gallery,(212) 679-3665,459 2nd Ave  Corner Of 26th Street,RestaurantsLatin American RestaurantsFamily Style Restaurants,From Business: Mexico Lindo Restaurant was opened in May of 1972 by Antonio & Leonor Bonilla. With Leonor's traditional Mexican upbringing and Antonio[...],52 Years,,"{""rating"":""4.0"",""count"":""75""}",https://www.yellowpages.com/new-york-city-ny/mip/mexico-lindo-restaurant-4844226,False
37,Bocce USQ,https://www.yellowpages.com/new-york-city-ny/mip/bocce-usq-545321448,(212) 677-7818,20 Union Square W  Union Square Park North,RestaurantsItalian RestaurantsBars,"From Business: Bocce Union Square is the NYC backyard we never had but always wanted. Located in the heart of Union Square Park, it's a place for our [...]",,,"{""rating"":""4.5"",""count"":""19""}",https://www.yellowpages.com/new-york-city-ny/mip/bocce-usq-545321448,True
38,Three Owls Market,https://www.yellowpages.com/new-york-city-ny/mip/three-owls-market-564629152,(917) 810-4891,800 Washington St  At The Corner Of Horatio Street,RestaurantsAmerican RestaurantsItalian Restaurants,"From Business: Inspired by European markets as well as local New York delis, and housed in a historic space underneath the original High Line tracks, [...]",,,"{""rating"":""2.5"",""count"":""3""}",https://www.yellowpages.com/new-york-city-ny/mip/three-owls-market-564629152,True
39,BLT Prime,https://www.yellowpages.com/new-york-city-ny/mip/blt-prime-549412906,(212) 995-8500,1032 Lexington Ave  Bet. East 73rd And East 74th St,RestaurantsAmerican RestaurantsSteak Houses,From Business: BLT Prime's Upper East Side location has an expanded menu featuring signature BLT standouts such as a selection of USDA Prime and 100% [...],,,"{""rating"":""4.0"",""count"":""33""}",https://www.yellowpages.com/new-york-city-ny/mip/blt-prime-549412906,False
40,The Spaniard,https://www.yellowpages.com/new-york-city-ny/mip/the-spaniard-535486125?lid=535486125#gallery,(212) 918-1986,190 W 4th St  Closest Subways: West 4th Or Christopher St 1,RestaurantsAmerican RestaurantsBars,"From Business: Opened in 2017, The Spaniard is a West Village bar serving fine food, strong drinks and plentiful whiskey, inspired by classic New York[...]",,,"{""rating"":""4.0"",""count"":""47""}",https://www.yellowpages.com/new-york-city-ny/mip/the-spaniard-535486125,False
41,Bar Pisellino,https://www.yellowpages.com/new-york-city-ny/mip/bar-pisellino-549546811?lid=549546811#gallery,(347) 859-7624,52 Grove Street  At 7th Avenue South,RestaurantsItalian RestaurantsContinental Restaurants,"From Business: Just off Christopher Park, in the heart of the West Village, award-winning chefs Rita Sodi and Jody Williams share the arte del bere at[...]",,$$,"{""rating"":""4.0"",""count"":""21""}",https://www.yellowpages.com/new-york-city-ny/mip/bar-pisellino-549546811,False
42,The Mary Lane,https://www.yellowpages.com/new-york-city-ny/mip/the-mary-lane-563734875,(212) 597-9099,99 Bank St.  At The Corner Of Greenwich St.,RestaurantsAmerican RestaurantsBars,"From Business: Located on the cobblestone corner of Bank and Greenwich Streets in the West Village, The Mary Lane at 99 Bank St is a seasonal New Amer[...]",,$$,"{""rating"":""4.5"",""count"":""13""}",https://www.yellowpages.com/new-york-city-ny/mip/the-mary-lane-563734875,False
43,Marcellino Restaurant,https://www.yellowpages.com/new-york-city-ny/mip/marcellino-restaurant-549180984,(646) 998-4576,178 Mulberry Street   New York   Ny  Street Corner,RestaurantsPizzaBars,From Business: Wood-fired Italian cuisine made using family recipes is served in a classic space.Wood-fired Italian cuisine made using family recipes [...],,$$$,"{""rating"":""5.0"",""count"":""8""}",https://www.yellowpages.com/new-york-city-ny/mip/marcellino-restaurant-549180984,False
44,Tiramisu Restaurant,https://www.yellowpages.com/new-york-city-ny/mip/tiramisu-restaurant-8294772?lid=8294772#gallery,(212) 988-9780,1643 2nd Ave.  E 85th Street,RestaurantsItalian RestaurantsPizza,From Business: Brick-oven pizzas and Tuscan staples in a family-friendly setting with seasonal outdoor seating. Open daily 12pm - 10pm . Saturday and [...],,$$,"{""rating"":""4.0"",""count"":""77""}",https://www.yellowpages.com/new-york-city-ny/mip/tiramisu-restaurant-8294772,True
45,Sushi Dojo NYC Noodle House,https://www.yellowpages.com/new-york-city-ny/mip/sushi-dojo-nyc-noodle-house-533411488,(212) 253-5311,38 Avenue B  At The Corner Of 3rd Street,RestaurantsJapanese Restaurants,"From Business: Formally Dojo Izakaya, its been changed to Sushi Dojo NYC Noodle House specializing in Udon noodles and broth, and Ramen. WIth beer and[...]",,$$,"{""rating"":""5.0"",""count"":""1""}",https://www.yellowpages.com/new-york-city-ny/mip/sushi-dojo-nyc-noodle-house-533411488,False
46,Local 138,https://www.yellowpages.com/new-york-city-ny/mip/local-138-491490?lid=491490#gallery,(212) 477-0280,244 Mulberry St Between Prince & Spring,RestaurantsItalian RestaurantsGreek Restaurants,"From Business: The Hidden jewel of Soho, Local 244 is a Mediterranean/Italian restaurant located at 244 Mulberry St between Prince and Spring St Ny,Ny[...]",23 Years,$$,"{""rating"":""5.0"",""count"":""4""}",https://www.yellowpages.com/new-york-city-ny/mip/local-138-491490,True
47,Bella Luna,https://www.yellowpages.com/new-york-city-ny/mip/bella-luna-15999956?lid=15999956#gallery,(212) 877-2267,574 Columbus Ave  Sw Corner Of 88th St And Columbus Ave,RestaurantsContinental RestaurantsItalian Restaurants,From Business: Bella Luna open since 1988 is a friendly neighborhood restaurant offering quality Northern Italian fare in a welcoming and comfortable [...],,$$,"{""rating"":""4.0"",""count"":""173""}",https://www.yellowpages.com/new-york-city-ny/mip/bella-luna-15999956,True
48,Bice Cucina Soho,https://www.yellowpages.com/new-york-city-ny/mip/bice-cucina-soho-563436543,(646) 609-6530,15 Watts Street New York,RestaurantsItalian Restaurants,"From Business: Bice Cucina specializes in delicious fine, Italian dining in Soho Manhattan. Established in 1926, Bice is among the busiest and most re[...]",,$$$,"{""rating"":""1.0"",""count"":""1""}",https://www.yellowpages.com/new-york-city-ny/mip/bice-cucina-soho-563436543,False
49,Sal's Little Italy,https://www.yellowpages.com/new-york-city-ny/mip/sals-little-italy-480198098,(212) 925-0440,384 Broome St  Corner Of Mulberry Street,RestaurantsItalian RestaurantsPizza,"From Business: Since 1982, Sal's Little Italy has remained same family owned and operated and well known as the home of the famous deep fried calzone.[...]",47 Years,$$,"{""rating"":""4.0"",""count"":""288""}",https://www.yellowpages.com/new-york-city-ny/mip/sals-little-italy-480198098,True
50,"Izzies Cheesesteaks, Lower East Side",https://www.yellowpages.com/new-york-city-ny/mip/izzies-cheesesteaks-lower-east-side-545737339?lid=545737339#gallery,(646) 850-8636,47 Clinton St.  Between Rivington & Stanton Streets.,RestaurantsAmerican Restaurants,From Business: Izzie's Cheesesteaks specializes in creating an authentic Philly inspired cheesesteak made in New York. Izzie's offers a variety of fan[...],,$,,https://www.yellowpages.com/new-york-city-ny/mip/izzies-cheesesteaks-lower-east-side-545737339,True
51,Juicy Spot Cafe,https://www.yellowpages.com/new-york-city-ny/mip/juicy-spot-cafe-520816208,(212) 933-0478,109 Ludlow St  Between Delancy And Rivington Street,RestaurantsAmerican RestaurantsCaterers,"From Business: Experience fresh made ice cream rolls, right before your eyes! Large variety of fresh fruit options for your ice cream rolls, yogurt ro[...]",,$,"{""rating"":""4.5"",""count"":""16""}",https://www.yellowpages.com/new-york-city-ny/mip/juicy-spot-cafe-520816208,False
52,Buddha-Bar New York,https://www.yellowpages.com/new-york-city-ny/mip/buddha-bar-new-york-565792350?lid=565792350#gallery,(212) 256-0360,62 Thomas St  Thomas Street Between Church And West Broadway,RestaurantsSushi BarsJapanese Restaurants,From Business: Buddha-Bar restaurant New York brings a cosmopolitan experience and energy to New York City’s downtown TriBeCa neighborhood with a fres[...],,,"{""rating"":""4.0"",""count"":""16""}",https://www.yellowpages.com/new-york-city-ny/mip/buddha-bar-new-york-565792350,False
53,Malibu Farm New York,https://www.yellowpages.com/new-york-city-ny/mip/malibu-farm-new-york-553189263,(212) 265-3030,89 South St  North Side Of Pier 17 In The Seaport,RestaurantsAmerican RestaurantsBars,"From Business: Like all the best things in life, Malibu Farm started small and grew organically—just like the food we like to eat and serve. Our found[...]",,$$$,"{""rating"":""3.5"",""count"":""31""}",https://www.yellowpages.com/new-york-city-ny/mip/malibu-farm-new-york-553189263,True
54,Wasabi Sushi & Bento,https://www.yellowpages.com/new-york-city-ny/mip/wasabi-sushi-bento-525586058?lid=525586058#gallery,(917) 409-5238,200 Broadway  The Fulton Center,RestaurantsSushi BarsCaterers,From Business: - Temporarily closed- Temporarily closed[...],,,,https://www.yellowpages.com/new-york-city-ny/mip/wasabi-sushi-bento-525586058,False
55,Kuu,https://www.yellowpages.com/new-york-city-ny/mip/kuu-505341676?lid=505341676#gallery,(212) 571-7177,20 John St  Near Wall Street And Fulton St Subway,RestaurantsJapanese RestaurantsAsian Restaurants,"From Business: Well-known among New Yorkers, Kuu Ramen is a Japanese ramen restaurant serving ramen, curry rice, and many izakaya-style small plates l[...]",,$$,"{""rating"":""4.5"",""count"":""240""}",https://www.yellowpages.com/new-york-city-ny/mip/kuu-505341676,True
56,Thai Farm Kitchen Seaport,https://www.yellowpages.com/new-york-city-ny/mip/thai-farm-kitchen-seaport-556543847,(212) 349-4433,21 Peck Slip  Seaport,RestaurantsThai RestaurantsAsian Restaurants,"From Business: We have heated outdoor patios! Located in the historic district of South Street Seaport in Manhattan, on the corner of Peck Slip and Wa[...]",,$$,"{""rating"":""4.5"",""count"":""7""}",https://www.yellowpages.com/new-york-city-ny/mip/thai-farm-kitchen-seaport-556543847,False
57,Fresh Salt,https://www.yellowpages.com/new-york-city-ny/mip/fresh-salt-4845914?lid=4845914#gallery,(212) 962-0053,146 Beekman St  Frnt St,RestaurantsAmerican RestaurantsBars,"From Business: Local bar with light food located in the heart of the South Street Seaport, happy hour everyday 4-8pm.Local bar with light food located[...]",,,"{""rating"":""4.0"",""count"":""91""}",https://www.yellowpages.com/new-york-city-ny/mip/fresh-salt-4845914,False
58,Wuish Kitchen & Bar,https://www.yellowpages.com/new-york-city-ny/mip/wuish-kitchen-bar-566265372,(212) 273-9296,6 Platt Stfinancial Distric Four Point Sheraton Hotel,RestaurantsChinese RestaurantsAsian Restaurants,From Business: Elegant Chinese restaurant situated in the heart of the Financial District in New York City. Gather around the table to enjoy banquet s[...],,$$$$,"{""rating"":""4.0"",""count"":""5""}",https://www.yellowpages.com/new-york-city-ny/mip/wuish-kitchen-bar-566265372,True
59,Spaha Soul,https://www.yellowpages.com/new-york-city-ny/mip/spaha-soul-481582013?lid=481582013#gallery,(347) 463-7387,2294 2nd Ave  Between 117th-118th Street,RestaurantsSoul Food RestaurantsTake Out Restaurants,From Business: SpaHa Soul is like dining in our house. Whether your in a large group or an intimate setting. We treat every guest like family. Souther[...],,$$,"{""rating"":""5.0"",""count"":""9""}",https://www.yellowpages.com/new-york-city-ny/mip/spaha-soul-481582013,True
60,De Tandoori Knight Corp,https://www.yellowpages.com/new-york-city-ny/mip/de-tandoori-knight-corp-569433931,(347) 763-0203,353 Broadway  Brooklyn,RestaurantsIndian RestaurantsMiddle Eastern Restaurants,From Business: detandooriknight@gmail.comdetandooriknight@gmail.com[...],,$$,,https://www.yellowpages.com/new-york-city-ny/mip/de-tandoori-knight-corp-569433931,True
